State,Animal Name,Facts,Characteristics
Alabama,Blue Tang,"{""Name Of Young"": ""Fry"", ""Group Behavior"": ""Solitary/SchoolPair"", ""Fun Fact"": ""The blue tang has caudal spines that resemble a surgeon's scalpel!"", ""Most Distinctive Feature"": ""Caudal spines"", ""Other Name(s)"": ""Blue tang surgeonfish, Atlantic blue tang, blue doctor, yellow doctor, blue barber, yellow barber, blue doctorfish"", ""Predators"": ""Reef sharks, large carnivorous fish like tuna, tiger groupers, bar jacks, snappers"", ""Lifestyle"": ""Diurnal"", ""Common Name"": ""Atlantic blue tang"", ""Number Of Species"": ""1"", ""Slogan"": ""One of the most colorful members of the genus Acanthurus"", ""Group"": ""School""}","{""Color"": ""YellowBlue"", ""Skin Type"": ""Scales"", ""Venomous"": ""No"", ""Aggression"": ""Medium""}"
Alabama,Brown Water Snake,"{""Prey"": ""Fish"", ""Fun Fact"": ""Has more scales than any other water snake on the continent: 27 to 33 rows of dorsal scales!"", ""Other Name(s)"": ""Water rattle, southern water snake, pied water snake, greater water snake, water-pilot, aspic, and false moccasin"", ""Litter Size"": ""Up to 61, but typically 20-30"", ""Diet"": ""Omnivore"", ""Type"": ""Reptile"", ""Common Name"": ""Brown water snake, brown watersnake""}","{""Color"": ""Brown"", ""Skin Type"": ""Scales"", ""Lifespan"": ""Up to 9 years in captivity"", ""Length"": ""3.5-6 ft""}"
Alabama,Cane Spider,"{""Prey"": ""Insects, arachnids and small mammals"", ""Main Prey"": ""Butterfly, moths, and cockroaches"", ""Name Of Young"": ""Caterpillar"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""Cane spiders don't spin webs to catch prey"", ""Most Distinctive Feature"": ""Cane spiders have dark spots on their legs"", ""Distinctive Feature"": ""Two rows of eyes arranged in front of the spider's head"", ""Other Name(s)"": ""Huntsman spider, house spider, big brown spider"", ""Average Spawn Size"": ""100-400"", ""Habitat"": ""Sugarcane fields and other plantations"", ""Predators"": ""Reptiles, birds and rodents"", ""Diet"": ""Insectivore"", ""Lifestyle"": ""Nocturnal"", ""Favorite Food"": ""Insects"", ""Type"": ""Arachnid (spider)"", ""Common Name"": ""Cane spider"", ""Special Features"": ""Cane spiders can build double trap doors to catch prey"", ""Origin"": ""Tropical regions"", ""Location"": ""Hawaii and other tropical areas"", ""Nesting Location"": ""Underground""}","{""Color"": ""BrownTanDark Brown"", ""Skin Type"": ""Exoskeleton"", ""Lifespan"": ""2 years"", ""Length"": ""0.8\u20131 inch"", ""Venomous"": ""Yes"", ""Aggression"": ""Low""}"
Alabama,Clearnose Skate,"{""Prey"": ""Crustaceans, mollusks, small fish, worms"", ""Main Prey"": ""Crustaceans"", ""Name Of Young"": ""Pup"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""They have spines on their backs!"", ""Biggest Threat"": ""Overfishing"", ""Most Distinctive Feature"": ""Translucent nose patches"", ""Other Name(s)"": ""Brier skate, summer skate"", ""Incubation Period"": ""62-96 days"", ""Average Spawn Size"": ""30 pairs of eggs"", ""Predators"": ""Sharks, large carnivorous fish, humans"", ""Diet"": ""Carnivore"", ""Lifestyle"": ""Nocturnal"", ""Common Name"": ""Clearnose skate"", ""Number Of Species"": ""1"", ""Slogan"": ""The skate with translucent nose patches""}","{""Color"": ""BrownGreyWhite"", ""Skin Type"": ""Skin"", ""Age of Sexual Maturity"": ""2-4 years for males, 4-6 years for females"", ""Venomous"": ""No"", ""Aggression"": ""Low""}"
Alabama,Common Yellowthroat,"{""Prey"": ""Insects, spiders, larvae, invertebrates"", ""Main Prey"": ""Insects"", ""Name Of Young"": ""Chicks"", ""Group Behavior"": ""Solitary/PairsFlocks"", ""Fun Fact"": ""The Common Yellowthroat stays close to the ground and uses stealth to survive!"", ""Estimated Population Size"": ""77 million mature individuals"", ""Biggest Threat"": ""Habitat degradation"", ""Most Distinctive Feature"": ""Black mask rimmed in white above"", ""Distinctive Feature"": ""Bright yellow bib and underparts; olive-brown upper parts; sharp, pointed black bill; black eyes; pinkish legs and feet; females lack mask"", ""Other Name(s)"": ""Maryland Yellowthroat, Mascarita com\u00fan (Spanish), Paruline masque (French)"", ""Wingspan"": ""5.9 - 7.5 inches"", ""Incubation Period"": ""12 days"", ""Age Of Fledgling"": ""10 - 12 days"", ""Habitat"": ""Marshes, wetlands, open pine forests, grasslands, prairies, shrublands, other areas with dense, low vegetation"", ""Predators"": ""Hawks, falcons, Loggerhead Shrikes, raccoons, mice, chipmunks, snakes, skunks, opossums"", ""Diet"": ""Insectivore"", ""Lifestyle"": ""DiurnalSolitaryFlockPair"", ""Favorite Food"": ""Insects"", ""Common Name"": ""Common Yellowthroat"", ""Special Features"": ""Black mask with white rim above; bright yellow underparts"", ""Number Of Species"": ""1"", ""Location"": ""North America, Central America and the Caribbean"", ""Average Clutch Size"": ""4"", ""Nesting Location"": ""On the ground or near the ground in dense vegetation"", ""Migratory"": ""1""}","{""Color"": ""BrownYellowBlackWhiteOlive"", ""Skin Type"": ""Feathers"", ""Lifespan"": ""10 years"", ""Weight"": ""0.3 ounces"", ""Length"": ""4.3 - 5.1 inches"", ""Age of Sexual Maturity"": ""1 year"", ""Venomous"": ""No"", ""Aggression"": ""Medium""}"
Alabama,Corn Snake,"{""Prey"": ""Rats, mice, baby birds, eggs"", ""Main Prey"": ""Rats and mice"", ""Name Of Young"": ""Hatchling"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""Corn snakes are partly arboreal and are excellent climbers."", ""Most Distinctive Feature"": ""Shield pattern on their back, and"", ""Other Name(s)"": ""Red cornsnake, chicken snake, red rat snake, eastern corn snake."", ""Temperament"": ""Relatively docile"", ""Litter Size"": ""10-30"", ""Habitat"": ""Forested areas, fields, swamps, hardwood hammocks, neighborhoods bordering habitat."", ""Diet for this Fish"": ""Carnivore"", ""Lifestyle"": ""Diurnalor Nocturnal Depending on Region and Season"", ""Favorite Food"": ""Rats and mice"", ""Common Name"": ""Corn snake, red rat snake, eastern red rat snake, Slowinski's rat snake, ."", ""Number Of Species"": ""2""}","{""Color"": ""BrownGreyRedBeigeLight-Brown"", ""Skin Type"": ""Scales"", ""Lifespan"": ""15 years in captivity, less in the wild""}"
Alabama,Crocodylomorph,"{""Prey"": ""Fish, birds, turtles, snakes, mammals"", ""Main Prey"": ""Fish"", ""Group Behavior"": ""SolitaryGroup"", ""Fun Fact"": ""Crocodylomorphs include extinct ancient species as well as 26 living species today."", ""Estimated Population Size"": ""6 million"", ""Biggest Threat"": ""Hunting, loss of habitat"", ""Most Distinctive Feature"": ""Armor-like scales"", ""Distinctive Feature"": ""Powerful jaws, teeth."", ""Habitat"": ""Tropical"", ""Predators"": ""Lions, tigers, leopards, pythons, anacondas"", ""Diet"": ""Carnivore"", ""Number Of Species"": ""26""}","{""Color"": ""Dark BrownDark GreyDull OliveBlack-Brown"", ""Skin Type"": ""Scales"", ""Venomous"": ""No"", ""Aggression"": ""High""}"
Alabama,De Kay’s Brown Snake,"""""",{}
Alabama,Eastern Box Turtle,"{""Group Behavior"": ""Solitary"", ""Fun Fact"": ""When injured or damaged, the shell of the eastern box turtle can regenerate"", ""Biggest Threat"": ""Dogs, ants, snakes, hogs, raccoons, crows, and skunks"", ""Most Distinctive Feature"": ""Eastern box turtles can withdraw completely into their shell"", ""Distinctive Feature"": ""Eastern box turtles have webbed feet"", ""Incubation Period"": ""50-90 days"", ""Habitat"": ""Terrestrial habitats close to ponds and wetlands"", ""Predators"": ""Dogs, ants, snakes, hogs, raccoons, crows, and skunks"", ""Diet"": ""Omnivore"", ""Lifestyle"": ""Diurnal"", ""Favorite Food"": ""Young feed onanimal material, such as slugs, worms,insectsand larvae. Adults eatplantmaterial, such as seeds, fruits, roots, fungi and grasses"", ""Type"": ""Box turtle"", ""Common Name"": ""Eastern Box turtle"", ""Location"": ""Eastern United States""}","{""Color"": ""BrownYellowBlackOrange"", ""Skin Type"": ""Hard Outer Shell"", ""Lifespan"": ""25-100 years"", ""Weight"": ""1-2 lbs"", ""Length"": ""5-6 inches"", ""Age of Sexual Maturity"": ""10-20 years"", ""Venomous"": ""No"", ""Aggression"": ""Low""}"
Alabama,Eastern Diamondback Rattlesnake,"{""Prey"": ""rats, mice, rabbits, squirrels, and sometimes birds."", ""Main Prey"": ""Small mammals"", ""Name Of Young"": ""Neonate"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""This is the biggest venomous snake in North America, with a few that reach 8 feet long."", ""Most Distinctive Feature"": ""Their rattle."", ""Other Name(s)"": ""Diamond-backed rattlesnake, eastern diamondback, diamond rattlesnake, diamond-back rattlesnake, common rattlesnake, diamond-back, diamond-patch rattler, eastern diamond-back, eastern diamond rattlesnake, Florida diamond-back (rattlesnake), Florida rattlesnake, lozenge-spotted rattlesnake, rattler, rattlesnake, southeastern diamond-backed rattlesnake, southeastern diamond-backed rattler, southern woodland rattler, water rattle, water rattlesnake, and diamondback rattlesnake."", ""Gestation Period"": ""6-7 months"", ""Temperament"": ""A little prickly, but reclusive."", ""Age Of Independence"": ""A few hours"", ""Litter Size"": ""7-21"", ""Diet for this Fish"": ""Carnivore"", ""Lifestyle"": ""CrepuscularDiurnal/NocturnalNocturnal/Crepuscularor Nocturnal Depending on Region and Season"", ""Favorite Food"": ""Rabbits"", ""Common Name"": ""Eastern diamondback""}","{""Color"": ""BrownGreyBlackWhiteTan"", ""Skin Type"": ""Scales"", ""Lifespan"": ""15-20+ years"", ""Length"": ""2-8 feet"", ""Venomous"": ""Yes"", ""Aggression"": ""Medium""}"
Alabama,Eastern Fence Lizard,"{""Prey"": ""insects, arachnids, and arthropods"", ""Name Of Young"": ""hatchling"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""Females are usually larger than males."", ""Estimated Population Size"": ""over 1,000,000"", ""Biggest Threat"": ""habitat loss"", ""Most Distinctive Feature"": ""spiny scales, wavelike markings"", ""Other Name(s)"": ""fence lizard, plateau lizard, prairie lizard"", ""Gestation Period"": ""8-10 weeks"", ""Litter Size"": ""3-16"", ""Habitat"": ""forest, grassland, and shrublands"", ""Predators"": ""snakes, birds, larger lizards, cats"", ""Diet"": ""Carnivore"", ""Lifestyle"": ""Diurnal"", ""Type"": ""reptile"", ""Common Name"": ""Eastern fence lizard"", ""Number Of Species"": ""7"", ""Location"": ""parts of the United States, Mexico"", ""Group"": ""lounge""}","{""Color"": ""BrownGreyBlueBlack"", ""Skin Type"": ""Scales"", ""Lifespan"": ""2-5 years"", ""Weight"": ""15g"", ""Length"": ""4-7 inches"", ""Age of Sexual Maturity"": ""1-2 years""}"
Alabama,Eastern Glass Lizard,"{""Prey"": ""Lizards, snakes, mice, invertebrates such as insects, spiders, earthworms and snails as well as each other."", ""Name Of Young"": ""Hatchling"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""When the glass lizard loses its tail it can grow another one. But the new tail lacks the markings of the old one and is usually shorter."", ""Biggest Threat"": ""Habitat destruction, vehicular accidents"", ""Most Distinctive Feature"": ""Lack of legs even though it\u2019s a lizard and not a snake"", ""Other Name(s)"": ""Joint snake, stinging snake, horn snake"", ""Gestation Period"": ""50 to 60 days"", ""Litter Size"": ""Five to 15 eggs"", ""Habitat"": ""Wet areas, including places near marshes, forests near the ocean, wet meadows, mesic semi-tropical or tropical hammocks, coastal dunes"", ""Predators"": ""Foxes, skunks, birds of prey, snakes and raccoons"", ""Diet"": ""Carnivore"", ""Type"": ""reptile"", ""Common Name"": ""Eastern glass lizard"", ""Number Of Species"": ""1"", ""Location"": ""Southeastern United States"", ""Group"": ""solitary""}","{""Color"": ""BrownYellowBlackWhiteGreen"", ""Skin Type"": ""Scales"", ""Top Speed"": ""4 mph"", ""Lifespan"": ""Lifespan of 10 to 30 years"", ""Weight"": ""11 to 21 ounces"", ""Length"": ""18 to 43 inches"", ""Age of Sexual Maturity"": ""Two to three years""}"
Alabama,Eastern Hognose Snake,"{""Prey"": ""Frogs, lizards, toads, rodents"", ""Main Prey"": ""Toads"", ""Name Of Young"": ""hatchling"", ""Group Behavior"": ""SolitarySolitary except during mating seasonCommunal Dens"", ""Fun Fact"": ""Eastern hognose snakes are venomous, but only to frogs and toads."", ""Biggest Threat"": ""Habitat destruction"", ""Most Distinctive Feature"": ""Upturned scale on the snout"", ""Other Name(s)"": ""spreading adder, spread'em outer, adder, bastard rattlesnake, black adder, black blowing viper, black hog-nosed snake, black viper snake, blauser, blowing adder, blow snake, buckwheat-nose snake, calico snake, checkered adder, chunk head, common hog-nosed snake, common spreading adder, deaf adder, eastern hognose snake, flat-head, flat-head adder, hay-nose snake, hissing adder, hissing snake, hog-nosed adder, hog-nosed rattler, hog-nose snake, hog-nosed viper, hissing viper, (mountain) moccasin, North American adder, North American hog-nosed snake, pilot, poison viper, puff(ing) adder, red snake, rock adder, rossel bastard, sand adder, sand viper, spotted (spreading) adder, spread nelly, spread-head moccasin, spread-head snake, spread-head viper, flat-head adder viper"", ""Gestation Period"": ""2 months"", ""Lifestyle"": ""Crepuscularor Nocturnal Depending on Region and Season"", ""Favorite Food"": ""Toads"", ""Common Name"": ""Eastern hognose snake"", ""Location"": ""Eastern United States and southern Ontrario, Canada"", ""Average Clutch Size"": ""25"", ""Nesting Location"": ""Sand, loose soil, rotten wood""}","{""Color"": ""BrownGreyYellowRedBlackTanGreenDark BrownCream"", ""Skin Type"": ""Scales"", ""Lifespan"": ""12-18 years"", ""Length"": ""24-33 inches"", ""Age of Sexual Maturity"": ""2-3 years"", ""Venomous"": ""Yes"", ""Aggression"": ""Low""}"
Alabama,Eastern Woodrat,"{""Name Of Young"": ""kittens or pups"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""The eastern woodrat mating ritual involves a potentially deadly fight between the male and female before reproduction begins!"", ""Estimated Population Size"": ""over 10,000 individuals"", ""Biggest Threat"": ""habitat loss"", ""Most Distinctive Feature"": ""Exceptionally long tail of 15-20cm"", ""Other Name(s)"": ""bush rat"", ""Gestation Period"": ""30-37 days"", ""Litter Size"": ""1-3"", ""Habitat"": ""Forest, caves, shrublands, grasslands, wetlands, and rocky outcrops"", ""Predators"": ""Owls, raccoons, weasels, foxes, and snakes"", ""Diet"": ""Herbivore"", ""Type"": ""Rodent"", ""Common Name"": ""Eastern woodrat"", ""Number Of Species"": ""8"", ""Location"": ""Southeastern and Midwestern United States, from southern Illinois and New York state to as far south as central Florida"", ""Group"": ""Solitary""}","{""Color"": ""Grey-Brown"", ""Skin Type"": ""Hair"", ""Lifespan"": ""3 years"", ""Weight"": ""0.47-0.73 lb (213-331 g)"", ""Length"": ""13.4-16.9 in (34-43 cm)"", ""Age of Sexual Maturity"": ""5 months (females)"", ""Age of Weaning"": ""1 month""}"
Alabama,Flea,"{""Name Of Young"": ""Larvae"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""Adult fleas can jump up to 7 inches in the air"", ""Estimated Population Size"": ""Unknown"", ""Biggest Threat"": ""None"", ""Most Distinctive Feature"": ""The long legs"", ""Gestation Period"": ""A week"", ""Litter Size"": ""25-40 eggs per day"", ""Habitat"": ""Mammal and bird hosts in various habitats"", ""Predators"": ""Insects, spiders, lizards, snakes, and frogs"", ""Diet"": ""Carnivore"", ""Favorite Food"": ""Blood and other organic matter"", ""Type"": ""Insect"", ""Common Name"": ""Flea"", ""Number Of Species"": ""1998"", ""Location"": ""Worldwide""}","{""Color"": ""BrownRedBlack"", ""Skin Type"": ""Exoskeleton"", ""Top Speed"": ""4.25 mph"", ""Lifespan"": ""A few months to a year"", ""Weight"": ""1mg"", ""Length"": ""1.5-3.3mm (0.1in)"", ""Age of Sexual Maturity"": ""3-4 weeks""}"
Alabama,Florida Woods Cockroach,"{""Prey"": ""Decaying plant and animal matter"", ""Name Of Young"": ""Nymph"", ""Group Behavior"": ""Colony"", ""Fun Fact"": ""Often found on palmetto trees"", ""Biggest Threat"": ""Extermination by humans"", ""Most Distinctive Feature"": ""Flattened, egg shaped body"", ""Other Name(s)"": ""Palmetto bug, Florida stinkroach, skunkroach"", ""Gestation Period"": ""48 days"", ""Litter Size"": ""12-24 eggs per egg case"", ""Diet"": ""Omnivore"", ""Type"": ""Insect"", ""Common Name"": ""Palmetto bug"", ""Number Of Species"": ""1"", ""Location"": ""North America"", ""Group"": ""Cockroach""}","{""Color"": ""Brown"", ""Skin Type"": ""Exoskeleton"", ""Top Speed"": ""3 mph"", ""Lifespan"": ""12-15 months"", ""Weight"": ""0.105 g"", ""Height"": ""0.25 in"", ""Length"": ""1.5 in"", ""Age of Sexual Maturity"": ""100-120 days""}"
Alabama,Fox Squirrel,"{""Prey"": ""Insects, bird eggs"", ""Name Of Young"": ""Juveniles"", ""Group Behavior"": ""Social"", ""Fun Fact"": ""Although it is a tree squirrel, it spends most of its time on the ground."", ""Biggest Threat"": ""Overhunting, forest destruction"", ""Most Distinctive Feature"": ""Large size and large, bushy tail"", ""Other Name(s)"": ""Bryant's fox, eastern fox, stump-eared, racoon, and monkey-faced squirrel"", ""Gestation Period"": ""44-45 days"", ""Litter Size"": ""2-4"", ""Habitat"": ""Leaf nests and tree dens"", ""Predators"": ""Birds of prey, carnivorous mammals"", ""Diet"": ""Omnivore"", ""Type"": ""rodent"", ""Common Name"": ""fox squirrel"", ""Number Of Species"": ""10"", ""Location"": ""Eastern and central United States"", ""Group"": ""social""}","{""Color"": ""BrownGrey-Brown"", ""Skin Type"": ""Fur"", ""Top Speed"": ""17 mph"", ""Lifespan"": ""6-12.6 years"", ""Length"": ""21 inches"", ""Age of Sexual Maturity"": ""10-11 months"", ""Age of Weaning"": ""2 months""}"
Alabama,Groundhog (Woodchuck),"""""",{}
Alabama,Indigo Snake,"{""Prey"": ""Snakes, mammals, reptiles"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""Indigo snakes use brute force to overpower their prey."", ""Diet"": ""Carnivore"", ""Average Litter Size"": ""4 to 12 eggs"", ""Lifestyle"": ""Diurnal"", ""Common Name"": ""Indigo snake"", ""Location"": ""North America, Central America, South America""}","{""Lifespan"": ""Unknown"", ""Height"": ""Snakes, mammals, reptiles"", ""Length"": ""7 to 9 feet""}"
Alabama,Jack Crevalle,"{""Main Prey"": ""Smaller fishes"", ""Name Of Young"": ""Fry"", ""Group Behavior"": ""Solitary/School"", ""Fun Fact"": ""The jack crevalle is a highly aggressive predator!"", ""Biggest Threat"": ""Sharks"", ""Most Distinctive Feature"": ""Aggressive nature"", ""Other Name(s)"": ""Crevalle jack, common jack, blacktailed trevally, couvalli jack, black cavalli, yellow cavalli"", ""Average Spawn Size"": ""Up to one million eggs"", ""Predators"": ""Sharks, bigger fish like marlins, barracudas, seabirds"", ""Lifestyle"": ""Diurnal"", ""Common Name"": ""Crevalle jack"", ""Number Of Species"": ""1"", ""Slogan"": ""One of the biggest species in the Caranx genus"", ""Group"": ""School"", ""Migratory"": ""1""}","{""Color"": ""BlueGreenSilverOlive"", ""Skin Type"": ""Scales"", ""Age of Sexual Maturity"": ""Four to five years (males), five to six years (females)"", ""Venomous"": ""No"", ""Aggression"": ""High""}"
